,Unnamed: 0,CASE_STATUS,JOB_TITLE,SOC_TITLE,PREVAILING_WAGE,PW_UNIT_OF_PAY,BEGIN_DATE,END_DATE,NEW_EMPLOYMENT,CONTINUED_EMPLOYMENT,CHANGE_PREVIOUS_EMPLOYMENT,NEW_CONCURRENT_EMPLOYMENT,CHANGE_EMPLOYER,EMPLOYER_NAME,PW_WAGE_LEVEL,EMPLOYER_CITY,EMPLOYER_STATE,WORKSITE_WORKERS,WORKSITE_CITY,WORKSITE_COUNTY,WORKSITE_STATE,WORKSITE_POSTAL_CODE
47,47,Certified,Process Engineer,Materials Engineers,"$90,272.00 ",Year,12/26/2024,12/25/2027,0,0,0,0,0,Intel Corporation ,II,Santa Clara,CA,1,Rio Rancho,SANDOVAL,NM,87124
59,59,Certified,Web Application Developer,Software Developers,"$64,106.00 ",Year,5/24/2025,5/23/2028,0,1,0,0,0,"iZeal, Inc",I,Sterling,VA,1,Charleston,KANAWHA,WV,25301
607,607,Certified,Managing Director,Financial and Investment Analysts,"$144,123.00 ",Year,2/4/2025,2/3/2027,0,1,0,0,0,SUN MOUNTAIN CAPITAL LLC,IV,Santa Fe,NM,1,Santa Fe,SANTA FE,NM,87505
823,823,Certified,Registered Nurse Float Pool,Registered Nurses,$30.38 ,Hour,12/20/2024,12/19/2027,1,0,0,0,0,"Avant Healthcare Professionals, LLC.",II,Maitland,FL,1,Rapid City,PENNINGTON,SD,57701-7393
988,988,Certified,Registered Nurse Float Pool,Registered Nurses,$30.38 ,Hour,12/20/2024,12/19/2027,1,0,0,0,0,"Avant Healthcare Professionals, LLC.",II,Maitland,FL,1,Rapid City,PENNINGTON,SD,57701-7393
2699,2699,Certified,Registered Nurse Float Pool,Registered Nurses,$30.38 ,Hour,12/20/2024,12/19/2027,1,0,0,0,0,"Avant Healthcare Professionals, LLC.",II,Maitland,FL,1,Rapid City,PENNINGTON,SD,57701-7393
3333,3333,Certified,Registered Nurse Float Pool,Registered Nurses,$30.38 ,Hour,12/19/2024,12/18/2027,1,0,0,0,0,"Avant Healthcare Professionals, LLC.",II,Maitland,FL,1,Rapid City,PENNINGTON,SD,57701-7393
3567,3567,Certified,Project Manager,Construction Managers,"$63,835.00 ",Year,1/6/2025,1/5/2028,0,0,0,0,1,"HB Construction, Inc.",I,Albuquerque,NM,1,Albuquerque,BERNALILLO,NM,87106
3691,3691,Certified,Programmer Analyst,"Computer Occupations, All Other","$53,186.00 ",Year,2/1/2025,1/31/2028,0,1,0,0,0,Augustana University,I,Sioux Falls,SD,1,Sioux Falls,MINNEHAHA,SD,57197
4321,4321,Certified,Process Engineer,Materials Engineers,"$90,272.00 ",Year,12/23/2024,12/22/2027,0,0,0,0,0,Intel Corporation ,II,Santa Clara,CA,1,Rio Rancho,SANDOVAL,NM,87124
4814,4814,Certified - Withdrawn,ASSISTANT PROFESSOR OF ECONOMICS,"Economics Teachers, Postsecondary","$63,600.00 ",Year,4/30/2024,8/21/2025,0,1,0,0,0,MARSHALL UNIVERSITY ,II,Huntington,WV,1,HUNTINGTON,CABELL,WV,25755
4825,4825,Certified - Withdrawn,ASSISTANT PROFESSOR,"Engineering Teachers, Postsecondary","$70,477.00 ",Year,7/4/2023,7/3/2026,1,0,0,0,0,MARSHALL UNIVERSITY ,II,Huntington,WV,1,HUNTINGTON,CABELL,WV,25755
4843,4843,Certified - Withdrawn,ASSISTANT TENNIS COACH,Coaches and Scouts,"$37,963.00 ",Year,2/14/2022,2/13/2025,0,0,0,0,1,MARSHALL UNIVERSITY ,II,Huntington,WV,1,HUNTINGTON,CABELL,WV,25755
4844,4844,Certified - Withdrawn,POSTDOCTORAL FELLOW,"Medical Scientists, Except Epidemiologists","$48,942.00 ",Year,1/18/2022,1/17/2025,0,0,0,0,1,MARSHALL UNIVERSITY ,I,Huntington,WV,1,HUNTINGTON,CABELL,WV,25703
5630,5630,Certified,Software Developer,Software Developers,"$90,085.00 ",Year,6/14/2025,6/13/2028,0,1,0,0,0,Ykunt Inc AKA Techday Inc,II,Houston,TX,1,Santa Fe,SANTA FE,NM,87501
5779,5779,Certified,Assistant Professor (Thoracic Surgery),"Health Specialties Teachers, Postsecondary",$25.81 ,Hour,1/1/2025,12/31/2027,0,0,0,1,0,West Virginia University,I,Morgantown,WV,1,Morgantown,MONONGALIA,WV,26506
6141,6141,Certified,Software Engineer,Computer Systems Analysts,$34.49 ,Hour,12/23/2024,12/22/2027,0,0,0,0,1,Populus Group LLC,I,Troy,MI,1,Anchorage,ANCHORAGE,AK,99508
6192,6192,Certified,Process Engineer,Materials Engineers,"$110,219.00 ",Year,12/20/2024,12/19/2027,0,0,0,0,0,Intel Corporation ,III,Santa Clara,CA,1,Rio Rancho,SANDOVAL,NM,87124
6564,6564,Certified - Withdrawn,Postdoctoral Research Associate - Remote Sensing/GSCE,Remote Sensing Scientists and Technologists,"$46,821.00 ",Year,12/22/2023,12/21/2026,0,1,0,0,0,South Dakota State University,I,Brookings,SD,1,Brookings,BROOKINGS,SD,57007
6565,6565,Certified - Withdrawn,Senior Research Engineer,Materials Engineers,"$79,914.00 ",Year,12/22/2023,12/21/2026,0,1,0,0,0,South Dakota School of Mines and Technology,III,Rapid City,SD,1,Rapid City,PENNINGTON,SD,57701
6569,6569,Certified - Withdrawn,Assistant Professor of Aerospace and Mechanical Engineering,"Engineering Teachers, Postsecondary","$63,520.00 ",Year,8/14/2023,8/13/2026,0,0,0,0,1,South Dakota School of Mines and Technology,I,Rapid City,SD,1,Rapid City,PENNINGTON,SD,57701
6868,6868,Certified,Registered Nurse Float Pool,Registered Nurses,$30.38 ,Hour,12/17/2024,12/16/2027,1,0,0,0,0,"Avant Healthcare Professionals, LLC.",II,Maitland,FL,1,Rapid City,PENNINGTON,SD,57701-7393
6906,6906,Certified,Physician (Non-Invasive Cardiology)-Assistant Professor,Cardiologists,"$70,325.00 ",Year,2/24/2025,2/23/2028,1,0,0,0,0,West Virginia University Medical Corporation,I,Morgantown,WV,1,Princeton,MERCER,WV,24740
6992,6992,Certified,Post Doctoral,Biochemists and Biophysicists,"$50,149.00 ",Year,1/15/2025,1/14/2028,0,1,0,0,0,New Mexico State University,I,Las Cruces,NM,1,Las Cruces,DONA ANA,NM,88003
7239,7239,Certified,"Senior Engineer, Radio Frequency",Electrical Engineers,"$95,490.00 ",Year,4/2/2025,4/1/2028,0,1,0,0,0,"T-Mobile USA, Inc.",,Bellevue,WA,1,Albuquerque,BERNALILLO,NM,87109
7344,7344,Certified,Assistant Professor (Non-Invasive Cardiology),"Health Specialties Teachers, Postsecondary",$26.35 ,Hour,2/24/2025,2/23/2028,0,0,0,1,0,West Virginia University,I,Morgantown,WV,1,Princeton,MERCER,WV,24740
7506,7506,Certified,Registered Nurse Float Pool,Registered Nurses,$30.38 ,Hour,12/17/2024,12/16/2027,1,0,0,0,0,"Avant Healthcare Professionals, LLC.",II,Maitland,FL,1,Rapid City,PENNINGTON,SD,57701-7393
7515,7515,Certified,Non-Invasive Cardiology Physician,Cardiologists,"$440,309.00 ",Year,1/1/2025,12/31/2027,1,0,0,0,0,"Monument Health Rapid City Hospital, Inc.",,Rapid City,SD,1,Rapid City,PENNINGTON,SD,57701
7841,7841,Certified,Physician (Thoracic Surgery)-Assistant Professor,"Surgeons, All Other","$66,602.00 ",Year,1/1/2025,12/31/2027,1,0,0,0,0,West Virginia University Medical Corporation,I,Morgantown,WV,1,Morgantown,MONONGALIA,WV,26506
8011,8011,Certified,Registered Nurse Float Pool,Registered Nurses,$30.38 ,Hour,12/17/2024,12/16/2027,1,0,0,0,0,"Avant Healthcare Professionals, LLC.",II,Maitland,FL,1,Rapid City,PENNINGTON,SD,57701-7393
8089,8089,Certified,Postdoctoral Research Associate,Physicists,"$90,504.00 ",Year,2/6/2025,2/6/2026,1,0,0,0,0,"Triad National Security, LLC",,Los Alamos,NM,1,Los Alamos,LOS ALAMOS,NM,87545
8628,8628,Certified,POST DOCTORAL FELLOW,Biochemists and Biophysicists,"$50,149.00 ",Year,2/3/2025,2/2/2028,1,0,0,0,0,MARSHALL UNIVERSITY RESEARCH CORPORATION,I,Huntington,WV,1,HUNTINGTON,CABELL,WV,25703
8837,8837,Certified,High School Reading Teacher,"Secondary School Teachers, Except Special and Career/Technical Education","$43,580.00 ",Year,1/13/2025,1/12/2028,1,0,0,0,0,"Sicangu Oyate Ho, Inc. ",I,St Francis,SD,1,St. Francis,TODD,SD,57572
9238,9238,Certified,BILLING AND GENERAL ANALYST,Statisticians,$20.06 ,Hour,1/2/2025,12/31/2027,0,0,0,0,0,InnovateU LLC,I,Reno,NV,1,Huntington,CABELL,WV,25701
9257,9257,Certified,Elementary Bilingual Teacher,"Elementary School Teachers, Except Special Education","$52,500.00 ",Year,1/1/2025,12/31/2027,1,0,0,0,0,Espanola Public Schools ,,Espanola ,NM,1,Ohkay Owingheh,RIO ARRIBA,NM,87566
9375,9375,Certified,Clinical Research Coordinator,Clinical Research Coordinators,"$86,778.00 ",Year,1/6/2025,1/5/2028,1,0,0,0,0,Dynamed Clinical Research LP,I,Houston,TX,1,Albuquerque,BERNALILLO,NM,87106
9428,9428,Certified,High School Computer Teacher,"Secondary School Teachers, Except Special and Career/Technical Education","$43,580.00 ",Year,1/13/2025,1/12/2028,1,0,0,0,0,"Sicangu Oyate Ho, Inc. ",I,St Francis,SD,1,St. Francis,TODD,SD,57572
9674,9674,Certified,Process Engineer,Materials Engineers,"$90,272.00 ",Year,6/11/2025,6/10/2028,0,0,1,0,0,Intel Corporation ,II,Santa Clara,CA,1,Rio Rancho,SANDOVAL,NM,87124
9837,9837,Certified,Endovascular Neurosurgeon,"Surgeons, All Other","$239,200.00 ",Year,1/31/2025,1/30/2028,1,0,0,0,0,"Charleston Area Medical Center, Inc.",,Charleston,WV,1,Charleston,KANAWHA,WV,25301
10206,10206,Certified - Withdrawn,Scientist 2,Chemical Engineers,"$147,680.00 ",Year,1/6/2025,1/5/2028,0,0,1,0,0,"Triad National Security, LLC",III,Los Alamos,NM,1,Los Alamos,LOS ALAMOS,NM,87545
10574,10574,Certified,Postdoctoral Fellow,"Geoscientists, Except Hydrologists and Geographers","$57,574.00 ",Year,1/20/2025,1/19/2028,1,0,0,0,0,New Mexico Institute of Mining and Technology,I,Socorro,NM,1,Socorro,SOCORRO,NM,87801
10842,10842,Certified,Assistant Professor,"Business Teachers, Postsecondary","$53,400.00 ",Year,5/1/2025,4/30/2028,0,1,0,0,0,New Mexico State University,I,Las Cruces,NM,1,Las Cruces,DONA ANA,NM,88003
11041,11041,Certified,Registered Nurse Float Pool,Registered Nurses,$30.38 ,Hour,12/13/2024,12/12/2027,1,0,0,0,0,"Avant Healthcare Professionals, LLC.",II,Maitland,FL,1,Rapid City,PENNINGTON,SD,57701-7393
11395,11395,Certified,Software Engineer,Computer Programmers,$31.57 ,Hour,12/23/2024,12/22/2027,0,0,0,0,1,Populus Group LLC,I,Troy,MI,1,Anchorage,ANCHORAGE,AK,99508
11458,11458,Certified - Withdrawn,Clinical Research Coordinator I,Clinical Research Coordinators,"$86,778.00 ",Year,1/6/2025,5/7/2025,1,0,0,0,0,Dynamed Clinical Research LP,I,Houston,TX,1,Albuquerque,BERNALILLO,NM,87106
12257,12257,Withdrawn,Registered Nurse Float Pool,Registered Nurses,$30.38 ,Hour,12/17/2024,12/16/2027,1,0,0,0,0,"Avant Healthcare Professionals, LLC.",II,Maitland,FL,1,Rapid City,PENNINGTON,SD,57701-7393
12761,12761,Certified,RN Inpatient III,Registered Nurses,$32.22 ,Hour,6/1/2025,5/31/2028,5,0,0,0,0,UNM Hospital,,Albuquerque,NM,5,Albuquerque,BERNALILLO,NM,87106
12941,12941,Certified,APRN Inpatient,Nurse Practitioners,$45.69 ,Hour,5/11/2025,5/10/2028,1,0,0,0,0,UNM Hospital,I,Albuquerque,NM,1,Albuquerque,BERNALILLO,NM,87106
13079,13079,Certified,Elementary School Teacher,"Elementary School Teachers, Except Special Education","$53,000.00 ",Year,4/18/2025,4/17/2028,0,1,0,0,0,Grants / Cibola County Schools,,Grants,NM,1,Grants,CIBOLA,NM,87020
13807,13807,Certified,Senior Addiction Research Scientist,"Medical Scientists, Except Epidemiologists","$84,448.00 ",Year,2/14/2025,2/13/2028,0,0,1,0,0,West Virginia University Research Corporation,II,Morgantown,WV,1,Morgantown,MONONGALIA,WV,26505
14956,14956,Certified,Hospitalist Physician,Hospitalists,$115.00 ,Hour,12/13/2024,12/12/2027,1,0,0,0,0,"Hospitalist Medicine Physicians of Texas, PLLC",,Tacoma,WA,1,Clovis,CURRY,NM,88101
15280,15280,Certified,Special Education Teacher,"Special Education Teachers, Secondary School","$56,953.57 ",Year,6/2/2025,6/1/2028,0,1,0,0,0,Deming Public Schools,,Deming,NM,1,Deming,LUNA,NM,88030
15932,15932,Withdrawn,Assistant Professor (Non-Invasive Cardiology),"Health Specialties Teachers, Postsecondary",$26.35 ,Hour,2/24/2025,2/23/2028,0,0,0,1,0,West Virginia University,I,Morgantown,WV,1,Princeton,MERCER,WV,24740
15941,15941,Denied,Project Manager,Construction Managers,"$63,835.00 ",Year,1/6/2025,1/5/2028,0,0,0,0,1,HB Construction,I,Albuquerque,NM,1,Albuquerque,BERNALILLO,NM,87106
15954,15954,Withdrawn,Physician (Thoracic Surgery)-Assistant Professor,"Surgeons, All Other","$66,602.00 ",Year,12/23/2024,12/22/2027,1,0,0,0,0,West Virginia University Medical Corporation,I,Morgantown,WV,1,Morgantown,MONONGALIA,WV,26506
15976,15976,Certified,R & D Engineer,Electrical Engineers,"$88,941.00 ",Year,2/24/2025,2/23/2028,1,0,0,0,0,"Triad National Security, LLC",I,Los Alamos,NM,1,Los Alamos,LOS ALAMOS,NM,87545
16050,16050,Certified,Postdoctoral Research Associate,Aerospace Engineers,"$90,504.00 ",Year,1/6/2025,1/5/2028,1,0,0,0,0,"Triad National Security, LLC",,Los Alamos,NM,1,Los Alamos,LOS ALAMOS,NM,87545
16190,16190,Certified,Manager JC50 - Computer Systems Engineers/Architects,Computer Systems Engineers/Architects,"$102,918.00 ",Year,12/19/2024,12/18/2027,0,0,0,0,0,COGNIZANT TECHNOLOGY SOLUTIONS US CORP,III,College Station,TX,1,Albuquerque,BERNALILLO,NM,87113
17068,17068,Certified - Withdrawn,Postdoctoral Research Associate,Physicists,"$90,504.00 ",Year,2/7/2025,2/6/2026,1,0,0,0,0,"Triad National Security, LLC",,Los Alamos,NM,1,Los Alamos,LOS ALAMOS,NM,87545
17285,17285,Certified,Business Development Analyst,Market Research Analysts and Marketing Specialists,"$44,179.00 ",Year,1/2/2025,1/1/2028,1,0,0,0,0,Tecnocap LLC,II,Glen Dale,WV,1,Glen Dale,MARSHALL,WV,26038
17344,17344,Certified,Postdoctoral Research Associate,Chemists,"$53,664.00 ",Year,1/21/2025,1/20/2027,0,0,0,0,1,"TRIAD NATIONAL SECURITY, LLC",I,Los Alamos,NM,1,Los Alamos,LOS ALAMOS,NM,87545
17552,17552,Certified,Scientist 2,Materials Scientists,"$132,995.00 ",Year,1/10/2025,6/7/2027,0,1,0,0,0,"Triad National Security, LLC",IV,Los Alamos,NM,1,Los Alamos,LOS ALAMOS,NM,87545
17670,17670,Certified - Withdrawn,Assistant Professor,"Psychology Teachers, Postsecondary","$58,710.00 ",Year,8/19/2024,8/18/2027,1,0,0,0,0,New Mexico State University,I,Las Cruces,NM,1,Las Cruces,DONA ANA,NM,88003
18269,18269,Certified,"Spanish Immersion Teacher: Language, Culture, and Literature","Secondary School Teachers, Except Special and Career/Technical Education","$55,435.00 ",Year,6/10/2025,6/9/2028,0,0,1,0,0,Sioux Falls School District 49-5,,Sioux Falls,SD,1,Sioux Falls,MINNEHAHA,SD,57105
18304,18304,Certified,Public School Teacher,"Secondary School Teachers, Except Special and Career/Technical Education","$53,000.00 ",Year,6/10/2025,6/9/2028,1,0,0,0,0,Grants / Cibola County Schools,,Grants,NM,1,Grants,CIBOLA,NM,87020
18611,18611,Certified,Software Developer,Software Developers,"$90,085.00 ",Year,3/28/2025,3/27/2028,0,1,0,0,0,"CAYS, Inc.",II,El Segundo,CA,1,Santa Fe,SANTA FE,NM,87501
19454,19454,Certified - Withdrawn,Antibody Discovery Scientist,Molecular and Cellular Biologists,"$66,726.00 ",Year,9/1/2022,8/31/2025,1,0,0,0,0,NMC Inc,II,Los Alamos,NM,1,Santa Fe,SANTA FE,NM,87501
19455,19455,Certified - Withdrawn,Antibody Library Scientist,Molecular and Cellular Biologists,"$77,750.00 ",Year,9/1/2022,8/31/2025,1,0,0,0,0,NMC Inc,III,Los Alamos,NM,1,Santa Fe,SANTA FE,NM,87501
19885,19885,Certified,Elementary School Teacher,"Elementary School Teachers, Except Special Education","$63,683.00 ",Year,3/1/2025,2/29/2028,0,1,0,0,0,Mission Achievement and Success Charter School,III,Albuquerque,NM,1,Albuquerque,BERNALILLO,NM,87106
19924,19924,Certified,Research Assistant Professor,"Geoscientists, Except Hydrologists and Geographers","$86,016.00 ",Year,12/6/2024,12/5/2027,0,0,0,0,0,Portland State University,,Portland,OR,1,Anchorage,ANCHORAGE,AK,99504
20272,20272,Certified,Secondary School Teacher,"Secondary School Teachers, Except Special and Career/Technical Education","$72,710.00 ",Year,1/6/2025,1/5/2028,2,0,0,0,0,Mission Achievement and Success Charter School,IV,Albuquerque,NM,2,Albuquerque,BERNALILLO,NM,87106
20494,20494,Certified,Customer Experience Principal Consultant,Database Administrators,"$111,010.00 ",Year,1/13/2025,1/12/2028,0,0,0,0,1,"Accelalpha, Inc.",IV,Bellevue,WA,1,Albuquerque,BERNALILLO,NM,87111
20730,20730,Certified,Process Engineer,Materials Engineers,"$110,219.00 ",Year,5/4/2025,5/3/2028,0,0,1,0,0,Intel Corporation ,III,Santa Clara,CA,1,Rio Rancho,SANDOVAL,NM,87124
20834,20834,Certified,Creative Service Manager,Graphic Designers,"$43,971.00 ",Year,12/13/2024,12/12/2027,1,0,0,0,0,Concord University,III,Athens,WV,1,Athens,MERCER,WV,24712
21516,21516,Certified,Senior Addiction Research Scientist,"Medical Scientists, Except Epidemiologists","$84,448.00 ",Year,2/14/2025,2/13/2027,0,0,1,0,0,West Virginia University Research Corporation,II,Morgantown,WV,1,Morgantown,MONONGALIA,WV,26505
22102,22102,Certified,Process Engineer,Materials Engineers,"$110,219.00 ",Year,12/11/2024,12/10/2027,0,0,0,0,0,Intel Corporation ,III,Santa Clara,CA,1,Rio Rancho,SANDOVAL,NM,87124
22833,22833,Certified,Java Developer,Computer Programmers,$38.52 ,Hour,12/16/2024,12/15/2027,0,0,0,0,1,Populus Group LLC,II,Troy,MI,1,Anchorage,ANCHORAGE,AK,99508
22855,22855,Certified,Java Developer,Computer Programmers,$31.57 ,Hour,12/16/2024,12/15/2027,0,0,0,0,1,Populus Group LLC,I,Troy,MI,1,Anchorage,ANCHORAGE,AK,99508
23173,23173,Certified - Withdrawn,Assistant Professor (Neurosurgery),"Surgeons, All Other","$74,963.00 ",Year,1/1/2024,12/31/2026,1,0,0,0,0,West Virginia University,IV,Morgantown,WV,1,Wheeling,OHIO,WV,26003
23336,23336,Certified,Assistant Professor  (Nursing Family & Community Health Dep),"Health Specialties Teachers, Postsecondary","$53,690.00 ",Year,3/3/2025,3/2/2028,1,0,0,0,0,West Virginia University,I,Morgantown,WV,1,Morgantown,MONONGALIA,WV,26506
23474,23474,Certified,"Web Developer, Associate",Web Developers,"$42,640.00 ",Year,5/5/2025,5/4/2028,1,0,0,0,0,New Mexico State University,I,Las Cruces,NM,1,Alamogordo,OTERO,NM,88310
25139,25139,Withdrawn,Scientist 2,Materials Scientists,"$112,237.00 ",Year,1/10/2025,6/7/2027,0,1,0,0,0,"Triad National Security, LLC",III,Los Alamos,NM,1,Los Alamos,LOS ALAMOS,NM,87545
25602,25602,Certified,Postdoctoral Research Associate,Chemists,"$53,664.00 ",Year,2/18/2025,2/17/2027,0,0,0,0,1,"Triad National Security, LLC",I,Los Alamos,NM,1,Los Alamos,LOS ALAMOS,NM,87545
25645,25645,Certified,R&D CONCENTRATING SOLAR TECHNOLOGIES ENGINEER (MECH ENG),Solar Energy Systems Engineers,"$135,304.00 ",Year,3/25/2025,3/24/2028,0,1,0,0,0,NTESS LLC,III,Albuquerque,NM,1,ALBUQUERQUE,BERNALILLO,NM,87123
25798,25798,Certified,Software Engineer II,"Software Developers, R&D","$79,290.00 ",Year,1/30/2025,1/29/2028,0,1,0,0,0,National Radio Astronomy Observatory,II,Charlottesville,VA,1,Albuquerque,BERNALILLO,NM,87106
26143,26143,Certified,Data Architect,Database Architects,$52.73 ,Hour,5/3/2025,5/2/2028,0,1,0,0,0,COD CORES INC,II,Irving,TX,1,Sioux Falls,LINCOLN,SD,57108
26230,26230,Certified,Outreach Program Manager,Social and Community Service Managers,"$75,192.00 ",Year,1/15/2025,1/14/2028,1,0,0,0,0,Strider Education Foundation Inc.,II,Rapid City,SD,1,Rapid City,PENNINGTON,SD,57702
26279,26279,Certified,"Lead Developer, Salesforce",Software Developers,"$154,159.00 ",Year,12/11/2024,11/30/2027,0,0,0,0,1,Ford Motor Credit Company LLC,,Dearborn,MI,1,Charles Town,JEFFERSON,WV,25414
26312,26312,Certified,Middle School Teacher (ELA),"Middle School Teachers, Except Special and Career/Technical Education","$57,260.00 ",Year,12/16/2024,12/15/2027,1,0,0,0,0,Solare Collegiate Charter School,I,Albuquerque,NM,1,Albuquerque,BERNALILLO,NM,87121
26458,26458,Certified,Histotechnologist,Medical and Clinical Laboratory Technologists,$18.61 ,Hour,1/6/2025,1/5/2028,1,0,0,0,0,"West Virginia University Hospitals, Inc.",I,Morgantown,WV,1,Morgantown,MONONGALIA,WV,26506
26610,26610,Certified,Public School Teacher,"Secondary School Teachers, Except Special and Career/Technical Education","$53,000.00 ",Year,6/2/2025,6/1/2028,1,0,0,0,0,Grants / Cibola County Schools,,Grants,NM,1,Grants,CIBOLA,NM,87020
26628,26628,Certified,Robotic Process Automation Analyst,Mechatronics Engineers,"$88,504.00 ",Year,12/9/2024,12/8/2027,0,0,0,0,0,"West Virginia University Hospitals, Inc.",II,Morgantown,WV,1,Morgantown,MONONGALIA,WV,26505
26771,26771,Certified,JAVA DEVELOPER,Software Developers,"$103,314.00 ",Year,5/4/2025,5/3/2028,0,1,0,0,0,"COVANT SOLUTIONS, INC.",II,Newark,DE,1,ALBUQUERQUE,BERNALILLO,NM,87110
26810,26810,Certified - Withdrawn,Postdoctoral Research Associate,"Engineers, All Other","$90,958.00 ",Year,2/7/2025,2/6/2026,1,0,0,0,0,"Triad National Security, LLC",I,Los Alamos,NM,1,Los Alamos,LOS ALAMOS,NM,87545
27544,27544,Certified,Medical Laboratory Scientist,Medical and Clinical Laboratory Technologists,$23.85 ,Hour,12/2/2024,11/30/2027,1,0,0,0,0,Sanford,II,Fargo,ND,1,Brandon,MINNEHAHA,SD,57005
27829,27829,Certified,High School Science Teacher,"Secondary School Teachers, Except Special and Career/Technical Education","$60,490.00 ",Year,5/31/2025,5/30/2028,0,1,0,0,0,Galena City School District,I,Galena,AK,1,Galena,YUKON-KOYUKUK,AK,99741
28453,28453,Certified,Medical Laboratory Scientist,Medical and Clinical Laboratory Technologists,$23.85 ,Hour,4/15/2025,4/14/2028,0,1,0,0,0,Sanford Health,II,Sioux Falls,SD,1,Sioux Falls,MINNEHAHA,SD,57105
28572,28572,Certified - Withdrawn,Scientist,Industrial Ecologists,"$68,141.00 ",Year,4/18/2022,4/17/2025,1,0,0,0,0,"Triad National Security, LLC",II,Los Alamos,NM,1,Los Alamos,LOS ALAMOS,NM,87545
29640,29640,Certified,Director of Civil Engineering,Civil Engineers,"$86,507.00 ",Year,1/13/2025,1/12/2028,0,0,0,0,1,"Gridworks, Inc.",II,Albuquerque,NM,1,Albuquerque,BERNALILLO,NM,87109
29766,29766,Certified,Process Engineer,Materials Engineers,"$110,219.00 ",Year,12/3/2024,12/2/2027,0,0,0,0,0,Intel Corporation ,III,Santa Clara,CA,1,Rio Rancho,SANDOVAL,NM,87124
29916,29916,Certified,Requirements Analyst,Computer Systems Analysts,"$57,117.00 ",Year,12/9/2024,12/8/2027,0,0,0,0,1,"The Tire Rack, Inc. ",I,South Bend,IN,1,Moorefield,HARDY,WV,26836
29968,29968,Certified,Component Design Engineer,"Electronics Engineers, Except Computer","$112,445.00 ",Year,12/3/2024,12/2/2027,0,0,0,0,0,Intel Corporation ,II,Santa Clara,CA,1,Rio Rancho,SANDOVAL,NM,87124
30215,30215,Certified,"Internal Auditor, Senior",Accountants and Auditors,"$63,544.00 ",Year,1/2/2025,1/1/2028,1,0,0,0,0,University of Wyoming,III,Laramie,WY,1,Laramie,ALBANY,WY,82071
30243,30243,Certified,"Research Scientist, Asst","Environmental Scientists and Specialists, Including Health","$56,451.00 ",Year,12/20/2024,6/30/2027,0,1,0,0,0,University of Wyoming,I,Laramie,WY,1,Laramie,ALBANY,WY,82071
30410,30410,Certified,Senior Principal Consultant,Software Developers,"$151,382.00 ",Year,5/16/2025,5/15/2028,0,1,0,0,0,"Oracle America, Inc.",IV,Austin,TX,1,Albuquerque,BERNALILLO,NM,87109
30594,30594,Certified,Research Associate,"Geoscientists, Except Hydrologists and Geographers","$57,574.00 ",Year,1/19/2025,1/18/2028,0,0,1,0,0,New Mexico Institute of Mining and Technology,I,Socorro,NM,1,Socorro,SOCORRO,NM,87801
30634,30634,Certified,Sr. Software Developer,Software Developers,"$109,741.00 ",Year,1/2/2025,1/1/2028,0,0,0,0,0,"CARIAD, Inc.",IV,Redmond,WA,1,Barboursville,CABELL,WV,25504
31136,31136,Certified,Chartered Accountant,Accountants and Auditors,"$66,144.00 ",Year,3/16/2025,3/15/2028,0,1,0,0,0,Pearl Banyan Capital LLC,II,Albuquerque,NM,1,Albuquerque,BERNALILLO,NM,87113
31524,31524,Certified,Gateway West Administrator,Social and Community Service Managers,"$58,947.00 ",Year,5/28/2025,5/27/2028,1,0,0,0,0,City of Albuquerque,I,Albuquerque,NM,1,Albuquerque,BERNALILLO,NM,87121
31803,31803,Certified,Special Education Teacher - Middle School,"Special Education Teachers, Middle School","$56,812.00 ",Year,3/17/2025,3/16/2028,1,0,0,0,0,Las Cruces Public Schools,,Las Cruces,NM,1,Las Cruces,DONA ANA,NM,88001
31879,31879,Certified,ASSISTANT PROFESSOR - CIVIL AND ENVIRONMENTAL ENGINEERING,"Engineering Teachers, Postsecondary","$78,940.00 ",Year,5/22/2025,5/21/2028,1,0,0,0,0,South Dakota School of Mines and Technology,I,Rapid City,SD,1,RAPID CITY,PENNINGTON,SD,57701
31906,31906,Certified,ASSISTANT PROFESSOR - HISTORY,"History Teachers, Postsecondary","$54,140.00 ",Year,5/22/2025,5/21/2028,1,0,0,0,0,University of South Dakota,I,Vermillion,SD,1,VERMILLION,CLAY,SD,57069
31954,31954,Certified,Physician (Nephrologist),"Physicians, All Other",$115.00 ,Hour,12/2/2024,12/1/2027,0,0,0,1,0,"My Kidney Care, LLC",,Farmington,NM,1,Farmington,SAN JUAN,NM,87401
32016,32016,Certified,Director of Productions Operations,Petroleum Engineers,"$194,210.00 ",Year,12/9/2024,12/8/2026,0,0,1,0,0,Oil Search (Alaska) LLC,IV,Anchorage,AK,1,Anchorage,ANCHORAGE,AK,99501
32172,32172,Certified,Mathematics Teacher (Grades 9-12),"Secondary School Teachers, Except Special and Career/Technical Education","$43,580.00 ",Year,12/6/2024,12/5/2027,1,0,0,0,0,Tiospaye Topa School,I,Laplant,SD,1,LaPlant,DEWEY,SD,57652
32253,32253,Certified,Middle School Spanish Teacher,"Secondary School Teachers, Except Special and Career/Technical Education","$52,500.00 ",Year,1/1/2025,12/31/2027,1,0,0,0,0,Espanola Public Schools ,,Espanola ,NM,1,Espanola,RIO ARRIBA,NM,87532
